symbol,type,entry_time,exit_time,entry_price,exit_price,gross_pnl,fees,net_pnl,result,bars_held,position_size,leverage
EDENUSDT,LONG,2025-12-16 14:18:00+00:00,2025-12-16 14:32:00+00:00,0.06727,0.0686154,19.99999999999995,1.2,18.79999999999995,WIN,14,100.0,10
EDENUSDT,LONG,2025-12-16 14:30:00+00:00,2025-12-16 14:38:00+00:00,0.06769,0.0690438,20.000000000000032,1.2,18.800000000000033,WIN,8,100.0,10
EDENUSDT,LONG,2025-12-16 14:33:00+00:00,2025-12-16 14:40:00+00:00,0.06829,0.0696558,20.000000000000004,1.2,18.800000000000004,WIN,7,100.0,10
EDENUSDT,LONG,2025-12-16 14:34:00+00:00,2025-12-16 14:40:00+00:00,0.06813,0.0694926,20.000000000000078,1.2,18.80000000000008,WIN,6,100.0,10
EDENUSDT,LONG,2025-12-16 14:35:00+00:00,2025-12-16 14:43:00+00:00,0.06857,0.0699414,19.999999999999925,1.2,18.799999999999926,WIN,8,100.0,10
EDENUSDT,LONG,2025-12-16 14:36:00+00:00,2025-12-16 14:43:00+00:00,0.06866,0.0700332,20.00000000000007,1.2,18.80000000000007,WIN,7,100.0,10
EDENUSDT,LONG,2025-12-16 14:37:00+00:00,2025-12-16 14:43:00+00:00,0.06862,0.0699924,19.999999999999936,1.2,18.799999999999937,WIN,6,100.0,10
EDENUSDT,LONG,2025-12-16 14:38:00+00:00,2025-12-16 14:52:00+00:00,0.06925,0.06855750000000001,-9.999999999999979,1.2,-11.199999999999978,LOSS,14,100.0,10
EDENUSDT,LONG,2025-12-16 14:39:00+00:00,2025-12-16 14:48:00+00:00,0.06942,0.06872579999999999,-10.000000000000085,1.2,-11.200000000000085,LOSS,9,100.0,10
EDENUSDT,LONG,2025-12-16 14:41:00+00:00,2025-12-16 14:52:00+00:00,0.06912,0.0684288,-10.000000000000043,1.2,-11.200000000000042,LOSS,11,100.0,10
EDENUSDT,LONG,2025-12-16 14:47:00+00:00,2025-12-16 14:48:00+00:00,0.06936,0.0686664,-10.000000000000036,1.2,-11.200000000000035,LOSS,1,100.0,10
EDENUSDT,LONG,2025-12-16 14:48:00+00:00,2025-12-16 14:52:00+00:00,0.06919,0.0684981,-9.999999999999932,1.2,-11.199999999999932,LOSS,4,100.0,10
EDENUSDT,LONG,2025-12-16 14:49:00+00:00,2025-12-16 14:52:00+00:00,0.0691,0.068409,-9.999999999999961,1.2,-11.19999999999996,LOSS,3,100.0,10
EDENUSDT,LONG,2025-12-16 14:50:00+00:00,2025-12-16 14:58:00+00:00,0.06897,0.0703494,20.00000000000004,1.2,18.80000000000004,WIN,8,100.0,10
EDENUSDT,LONG,2025-12-16 14:58:00+00:00,2025-12-16 15:07:00+00:00,0.07049,0.0697851,-9.99999999999992,1.2,-11.19999999999992,LOSS,9,100.0,10
EDENUSDT,LONG,2025-12-16 14:59:00+00:00,2025-12-16 15:00:00+00:00,0.07148,0.0707652,-10.00000000000002,1.2,-11.200000000000019,LOSS,1,100.0,10
EDENUSDT,LONG,2025-12-16 15:00:00+00:00,2025-12-16 15:05:00+00:00,0.07059,0.0698841,-9.999999999999934,1.2,-11.199999999999934,LOSS,5,100.0,10
EDENUSDT,LONG,2025-12-16 15:01:00+00:00,2025-12-16 15:04:00+00:00,0.07072,0.0700128,-10.000000000000071,1.2,-11.20000000000007,LOSS,3,100.0,10
EDENUSDT,LONG,2025-12-16 15:02:00+00:00,2025-12-16 15:07:00+00:00,0.07048,0.0697752,-10.000000000000075,1.2,-11.200000000000074,LOSS,5,100.0,10
EDENUSDT,LONG,2025-12-16 15:09:00+00:00,2025-12-16 15:11:00+00:00,0.07056,0.0698544,-10.00000000000001,1.2,-11.20000000000001,LOSS,2,100.0,10
EDENUSDT,SHORT,2025-12-16 16:00:00+00:00,2025-12-16 16:25:00+00:00,0.06833,0.0690133,-9.999999999999966,1.2,-11.199999999999966,LOSS,25,100.0,10
EDENUSDT,SHORT,2025-12-16 16:03:00+00:00,2025-12-16 16:25:00+00:00,0.06838,0.0690638,-9.999999999999975,1.2,-11.199999999999974,LOSS,22,100.0,10
EDENUSDT,SHORT,2025-12-16 16:04:00+00:00,2025-12-16 16:24:00+00:00,0.06819,0.0688719,-9.999999999999988,1.2,-11.199999999999987,LOSS,20,100.0,10
EDENUSDT,LONG,2025-12-16 16:19:00+00:00,2025-12-16 16:48:00+00:00,0.06867,0.07004339999999999,19.999999999999957,1.2,18.799999999999958,WIN,29,100.0,10
EDENUSDT,LONG,2025-12-16 16:20:00+00:00,2025-12-16 16:44:00+00:00,0.06861,0.06998220000000001,20.000000000000057,1.2,18.800000000000058,WIN,24,100.0,10
EDENUSDT,LONG,2025-12-16 16:24:00+00:00,2025-12-16 17:26:00+00:00,0.06889,0.0682011,-10.000000000000089,1.2,-11.200000000000088,LOSS,62,100.0,10
EDENUSDT,LONG,2025-12-16 16:29:00+00:00,2025-12-16 17:26:00+00:00,0.06887,0.0681813,-10.000000000000004,1.2,-11.200000000000003,LOSS,57,100.0,10
EDENUSDT,LONG,2025-12-16 16:30:00+00:00,2025-12-16 17:24:00+00:00,0.06908,0.0683892,-10.000000000000075,1.2,-11.200000000000074,LOSS,54,100.0,10
EDENUSDT,LONG,2025-12-16 16:31:00+00:00,2025-12-16 17:21:00+00:00,0.06928,0.06858719999999999,-10.000000000000107,1.2,-11.200000000000106,LOSS,50,100.0,10
EDENUSDT,LONG,2025-12-16 16:36:00+00:00,2025-12-16 17:21:00+00:00,0.06936,0.0686664,-10.000000000000036,1.2,-11.200000000000035,LOSS,45,100.0,10
EDENUSDT,LONG,2025-12-16 16:37:00+00:00,2025-12-16 17:21:00+00:00,0.06929,0.06859710000000001,-9.999999999999947,1.2,-11.199999999999946,LOSS,44,100.0,10
EDENUSDT,LONG,2025-12-16 16:38:00+00:00,2025-12-16 17:21:00+00:00,0.06945,0.0687555,-10.00000000000001,1.2,-11.20000000000001,LOSS,43,100.0,10
EDENUSDT,LONG,2025-12-16 17:52:00+00:00,2025-12-16 18:35:00+00:00,0.069,0.07038000000000001,20.00000000000009,1.2,18.80000000000009,WIN,43,100.0,10
EDENUSDT,LONG,2025-12-16 17:54:00+00:00,2025-12-16 18:48:00+00:00,0.06911,0.0704922,20.0,1.2,18.8,WIN,54,100.0,10
EDENUSDT,LONG,2025-12-16 17:56:00+00:00,2025-12-16 18:35:00+00:00,0.06907,0.07045140000000001,20.00000000000007,1.2,18.80000000000007,WIN,39,100.0,10
EDENUSDT,LONG,2025-12-16 17:57:00+00:00,2025-12-16 18:35:00+00:00,0.06899,0.0703698,20.000000000000007,1.2,18.800000000000008,WIN,38,100.0,10
EDENUSDT,LONG,2025-12-16 17:58:00+00:00,2025-12-16 18:35:00+00:00,0.06903,0.07041059999999999,19.999999999999936,1.2,18.799999999999937,WIN,37,100.0,10
EDENUSDT,LONG,2025-12-16 17:59:00+00:00,2025-12-16 18:35:00+00:00,0.06905,0.07043100000000001,20.000000000000107,1.2,18.800000000000107,WIN,36,100.0,10
EDENUSDT,LONG,2025-12-16 18:00:00+00:00,2025-12-16 18:33:00+00:00,0.0689,0.07027800000000001,20.000000000000057,1.2,18.800000000000058,WIN,33,100.0,10
